old_id,name,instances,keep,new_id
0,amperimeter,85,0,-1
1,amplifier,42,0,-1
2,amplifier.differential,41,0,-1
3,amplifier.single_end,650,1,0
4,amplifier.single_input_single_end,78,0,-1
5,and,1167,1,1
6,antenna,119,1,2
7,block,449,1,3
8,capacitor,14520,1,4
9,capacitor.adjustable,264,1,5
10,capacitor.polarized,2473,1,6
11,clock,52,0,-1
12,crossover,11419,1,7
13,crossover.curved,1037,1,8
14,crystal,132,1,9
15,current_source,1839,1,10
16,current_source.ac,414,1,11
17,current_source.dc,792,1,12
18,dependent_current_source,141,1,13
19,dependent_voltage_source,31,0,-1
20,dflipflop,0,0,-1
21,diac,40,0,-1
22,diode,6891,1,14
23,diode.light_emitting,1391,1,15
24,diode.zener,1211,1,16
25,display.7_segment,35,0,-1
26,electric_bell,37,0,-1
27,explanatory,608,1,17
28,fuse,388,1,18
29,gnd,15874,1,19
30,heating_element,60,0,-1
31,inductor,5816,1,20
32,inductor.ferrite,173,1,21
33,integrated_circuit,1492,1,22
34,integrated_circuit.ne555,262,1,23
35,integrated_circuit.voltage_regulator,358,1,24
36,junction,78135,1,25
37,lamp,301,1,26
38,light,151,1,27
39,magnetic,364,1,28
40,magnetron,56,0,-1
41,mechanical,32,0,-1
42,microphone,92,0,-1
43,mosfet,1662,1,29
44,motor,171,1,30
45,nand,479,1,31
46,nmos,3756,1,32
47,nmos.bulk,432,1,33
48,nor,396,1,34
49,not,885,1,35
50,npn,3168,1,36
51,operational_amplifier,1669,1,37
52,optical,127,1,38
53,optocoupler,162,1,39
54,or,693,1,40
55,pmos,3106,1,41
56,pmos.bulk,312,1,42
57,pnp,1822,1,43
58,port,7929,1,44
59,probe,171,0,-1
60,probe.current,72,0,-1
61,probe.voltage,32,0,-1
62,relay,89,0,-1
63,resistor,35460,1,45
64,resistor.adjustable,1175,1,46
65,resistor.photo,284,1,47
66,socket,184,1,48
67,speaker,430,1,49
68,switch,3442,1,50
69,terminal,11087,1,51
70,text,89765,1,52
71,tgate,0,0,-1
72,thyristor,415,1,53
73,transformer,696,1,54
74,transistor.bjt,4849,1,55
75,transistor.photo,177,1,56
76,triac,98,0,-1
77,unknown,1912,1,57
78,v,438,1,58
79,varistor,184,1,59
80,vdd,1598,1,60
81,voltage,1564,1,61
82,voltage.ac,1404,1,62
83,voltage.battery,1226,1,63
84,voltage.dc,3046,1,64
85,voltage.dc.one_port,674,1,65
86,voltage.lines,187,1,66
87,voltimeter,82,0,-1
88,vss,1309,1,67
89,wattimeter,39,0,-1
90,xnor,69,0,-1
91,xor,363,1,68
