class_id,class_name,train,valid,test,total
0,amperimeter,74,9,2,85
1,amplifier,22,1,19,42
2,amplifier.differential,39,1,1,41
3,amplifier.single_end,526,52,72,650
4,amplifier.single_input_single_end,71,2,5,78
5,and,916,151,100,1167
6,antenna,95,15,9,119
7,block,317,93,39,449
8,buzzer,14,6,1,21
9,capacitor,11993,1432,1095,14520
10,capacitor.adjustable,206,37,21,264
11,capacitor.polarized,1921,288,264,2473
12,clock,28,13,11,52
13,connector,10,0,2,12
14,crossover,9580,964,875,11419
15,crossover.curved,862,86,89,1037
16,crystal,112,11,9,132
17,current_source,1543,173,123,1839
18,current_source.ac,331,41,42,414
19,current_source.dc,637,80,75,792
20,dependent_current_source,91,30,20,141
21,dependent_voltage_source,20,5,6,31
22,dflipflop,0,0,0,0
23,diac,24,5,11,40
24,diode,5619,688,584,6891
25,diode.light_emitting,1053,228,110,1391
26,diode.thyrector,10,2,4,16
27,diode.zener,968,127,116,1211
28,display.7_segment,23,8,4,35
29,electric_bell,25,11,1,37
30,explanatory,471,78,59,608
31,frequency_meter,15,5,0,20
32,fuse,309,43,36,388
33,galvanometer,15,1,0,16
34,generator,9,1,0,10
35,gnd,12972,1520,1382,15874
36,heating_element,30,12,18,60
37,inductor,4726,595,495,5816
38,inductor.ferrite,140,19,14,173
39,integrated_circuit,1201,156,135,1492
40,integrated_circuit.ne555,214,30,18,262
41,integrated_circuit.voltage_regulator,286,40,32,358
42,junction,63395,7555,7185,78135
43,lamp,252,23,26,301
44,light,112,26,13,151
45,magnetic,284,40,40,364
46,magnetron,38,13,5,56
47,mechanical,27,2,3,32
48,microphone,79,13,0,92
49,mosfet,1416,135,111,1662
50,motor,145,18,8,171
51,nand,333,115,31,479
52,nmos,2879,382,295,3556
53,nmos.bulk,343,50,39,432
54,nmos.cross,158,19,23,200
55,nor,267,101,28,396
56,not,663,138,84,885
57,npn,2469,280,392,3141
58,npn.cross,18,3,6,27
59,ohmmeter,15,7,1,23
60,operational_amplifier,1343,170,157,1670
61,operational_amplifier.schmitt_trigger,16,0,0,16
62,optical,95,18,14,127
63,optocoupler,123,23,16,162
64,or,520,100,73,693
65,pmos,2280,274,248,2802
66,pmos.bulk,245,24,43,312
67,pmos.cross,235,40,29,304
68,pnp,1406,158,237,1801
69,pnp.cross,19,2,0,21
70,port,6363,792,774,7929
71,probe,143,8,20,171
72,probe.current,59,6,7,72
73,probe.voltage,27,4,1,32
74,relay,66,13,10,89
75,resistor,29267,3373,2820,35460
76,resistor.adjustable,966,120,89,1175
77,resistor.photo,213,46,25,284
78,socket,153,24,7,184
79,speaker,362,29,39,430
80,switch,2826,364,252,3442
81,terminal,8868,1076,1143,11087
82,text,72605,9082,8078,89765
83,tgate,0,0,0,0
84,thermistor,21,4,0,25
85,thyristor,349,28,38,415
86,transformer,547,81,68,696
87,transistor,57,18,1,76
88,transistor.bjt,4007,404,362,4773
89,transistor.photo,141,24,12,177
90,triac,74,9,15,98
91,unknown,864,841,48,1753
92,v,311,86,41,438
93,varistor,162,9,13,184
94,vdd,1324,150,124,1598
95,voltage,1328,156,80,1564
96,voltage.ac,1149,157,98,1404
97,voltage.battery,1037,99,90,1226
98,voltage.dc,2519,335,192,3046
99,voltage.dc.one_port,525,56,93,674
100,voltage.lines,145,23,19,187
101,voltimeter,67,13,2,82
102,vss,1074,122,113,1309
103,wattimeter,25,9,5,39
104,xnor,56,8,5,69
105,xor,272,49,42,363
